国内卫视,#genre#
$-$河北 保定 移动
CCTV-1,http://39.134.65.173/PLTV/88888888/224/3221225816/1.m3u8
CCTV-2,http://183.196.25.171:808/hls/2/index.m3u8
CCTV-3,http://39.134.65.173/PLTV/88888888/224/3221225799/1.m3u8
CCTV-4,http://183.196.25.171:808/hls/4/index.m3u8
CCTV-5,http://183.196.25.171:808/hls/78/index.m3u8
CCTV-5+,http://39.134.65.173/PLTV/88888888/224/3221225507/1.m3u8
CCTV-6,http://39.134.65.173/PLTV/88888888/224/3221225814/1.m3u8
CCTV-7,http://183.196.25.171:808/hls/7/index.m3u8
CCTV-8,http://39.134.65.173/PLTV/88888888/224/3221225795/1.m3u8
CCTV-9,http://39.134.65.173/PLTV/88888888/224/3221225676/1.m3u8
CCTV-10,http://183.196.25.171:808/hls/10/index.m3u8
CCTV-11,http://39.134.65.173/PLTV/88888888/224/3221225517/1.m3u8
CCTV-12,http://39.134.65.173/PLTV/88888888/224/3221225669/1.m3u8
CCTV-13,http://39.134.65.173/PLTV/88888888/224/3221225812/1.m3u8
CCTV-14,http://39.134.65.173/PLTV/88888888/224/3221225674/1.m3u8
CCTV-15,http://39.134.65.173/PLTV/88888888/224/3221225513/1.m3u8
CCTV-17,http://183.196.25.171:808/hls/93/index.m3u8
中国教育1,http://183.196.25.171:808/hls/85/index.m3u8
中国教育4,http://39.134.65.173/PLTV/88888888/224/3221225750/1.m3u8
北京卫视,http://39.134.65.173/PLTV/88888888/224/3221225678/1.m3u8
东方卫视,http://39.134.65.173/PLTV/88888888/224/3221225865/1.m3u8
浙江卫视,http://39.134.65.173/PLTV/88888888/224/3221225514/1.m3u8
江苏卫视,http://39.134.65.173/PLTV/88888888/224/3221225503/1.m3u8
广东卫视,http://39.134.65.173/PLTV/88888888/224/3221225859/1.m3u8
深圳卫视,http://183.196.25.171:808/hls/40/index.m3u8
东南卫视,http://183.196.25.171:808/hls/44/index.m3u8
湖南卫视,http://39.134.65.173/PLTV/88888888/224/3221225506/1.m3u8
安徽卫视,http://183.196.25.171:808/hls/30/index.m3u8
天津卫视,http://183.196.25.171:808/hls/32/index.m3u8
河北卫视,http://183.196.25.171:808/hls/16/index.m3u8
辽宁卫视,http://183.196.25.171:808/hls/33/index.m3u8
山东卫视,http://183.196.25.171:808/hls/34/index.m3u8
河南卫视,http://183.196.25.171:808/hls/36/index.m3u8
四川卫视,http://183.196.25.171:808/hls/37/index.m3u8
江西卫视,http://39.134.65.173/PLTV/88888888/224/3221225884/1.m3u8
贵州卫视,http://183.196.25.171:808/hls/39/index.m3u8
湖北卫视,http://183.196.25.171:808/hls/41/index.m3u8
重庆卫视,http://183.196.25.171:808/hls/43/index.m3u8
广西卫视,http://183.196.25.171:808/hls/46/index.m3u8
吉林卫视,http://183.196.25.171:808/hls/47/index.m3u8
黑龙江卫视,http://183.196.25.171:808/hls/79/index.m3u8
云南卫视,http://183.196.25.171:808/hls/35/index.m3u8
陕西卫视,http://183.196.25.171:808/hls/48/index.m3u8
山西卫视,http://183.196.25.171:808/hls/49/index.m3u8
内蒙古卫视,http://183.196.25.171:808/hls/50/index.m3u8
青海卫视,http://39.134.65.173/PLTV/88888888/224/3221225831/1.m3u8
甘肃卫视,http://183.196.25.171:808/hls/56/index.m3u8
宁夏卫视,http://183.196.25.171:808/hls/53/index.m3u8
西藏卫视,http://183.196.25.171:808/hls/54/index.m3u8
新疆卫视,http://183.196.25.171:808/hls/55/index.m3u8
延边卫视,http://39.134.65.173/PLTV/88888888/224/3221225852/1.m3u8


CCTV-1,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv1hd.m3u8
CCTV-2,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv2hd.m3u8
CCTV-3,http://[2001:da8:c000:1201:f816:3eff:fe09:940e]/hls/cctv3hd.m3u8
